Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Hood, Donald C; Fortune, Brad; Mavrommatis, Maria A; Reynaud, Juan; Ramachandran, Rithambara; Ritch, Robert; Rosen, Richard B; Muhammad, Hassan; Dubra, Alfredo; Chui, Toco YP; ",Details of glaucomatous damage are better seen on OCT en face images than on OCT retinal nerve fiber layer thickness maps,Investigative ophthalmology & visual science,56,11,6208-6216,2015,The Association for Research in Vision and Ophthalmology
"Muhammad, Hassan; Raza, Ali S; Hood, Donald; ",An algorithm combining structure and function matches the diagnoses of glaucoma specialists with high accuracy,Investigative Ophthalmology & Visual Science,56,7,630-630,2015,The Association for Research in Vision and Ophthalmology
"Jarukasetphon, Ravivarn; Wang, Diane; Zhang, Xian; Muhammad, Hassan; Grillo, Lola; Ramachandran, Rithambara; Ritch, Robert; Hood, Donald; ",The minimum rim width at Bruch’s membrane opening (BMO-MRW) and detection of early glaucomatous damage.,Investigative Ophthalmology & Visual Science,56,7,1018-1018,2015,The Association for Research in Vision and Ophthalmology
"Kaur, Khushmit; Muhammad, Hassan; Wang, Diane; Shelton, Jacoby; Hood, Donald; ",Inter-individual Variations in Foveal Pit Anatomy Do Not Completely Explain False Positives Seen in the Central Retina on OCT Inner Retinal Thickness Maps,Investigative Ophthalmology & Visual Science,56,7,5273-5273,2015,The Association for Research in Vision and Ophthalmology
"Muhammad, Hassan; Al-Abdalla, Roa; Farrow, Reginald; Khouri, Albert S; Fechtner, Robert D; Thomas, Gordon; ",A self-Tonometer yields low variation and indicates linearity in the elasticity of palpebral tissue,Investigative Ophthalmology & Visual Science,55,13,136-136,2014,The Association for Research in Vision and Ophthalmology
"Hood, Donald C; De Cuir, Nicole; Mavrommatis, Maria A; Xin, Daiyan; Muhammad, Hassan; Reynaud, Juan; Ritch, Robert; Fortune, Brad; ",Defects along blood vessels in glaucoma suspects and patients,Investigative ophthalmology & visual science,57,4,1680-1686,2016,The Association for Research in Vision and Ophthalmology
"Muhammad, Hassan; Thibideaux, David; Costa, Silvana L; Strober, Lauren B; Genova, Helen M; Chiaravalloti, Nancy D; Alvarez, Tara L; ",A method to compare processing speed and oculomotor function using a modified SDMT,2014 40th Annual Northeast Bioengineering Conference (NEBEC),,,1-2,2014,IEEE
"Muhammad, Hassan; Mustafa, Ali; ",A self-powered and portable device to monitor and assess targeted muscle rehabilitation,2014 40th Annual Northeast Bioengineering Conference (NEBEC),,,1-2,2014,IEEE
"Thibodeaux, David; Muhammad, Hassan; Costa, Silvana L; Alvarez, Tara L; ","Instrumentation to stimulate gap saccades, pro-saccades, and overlap saccades",2014 40th Annual Northeast Bioengineering Conference (NEBEC),,,1-2,2014,IEEE
"Lee, Seung; Jarukasetphon, Ravivarn; De Cuir, Nicole; Thenappan, Abinaya; De Moraes, C Gustavo; Wang, Diane; Zhang, Xian; Muhammad, Hassan; Ritch, Robert; Hood, Donald Charles; ",A comparison of circumpapillary retinal nerve fiber layer (cpRNFL) thickness and minimum rim width at Bruch’s membrane opening (BMO-MRW) analyses in patients with mild glaucomatous damage,Investigative Ophthalmology & Visual Science,57,12,843-843,2016,The Association for Research in Vision and Ophthalmology
"Schüffler, Peter J.; Sarungbam, Judy; Muhammad, Hassan; Reznik, Ed; Tickoo, Satish K.; Fuchs, Thomas J.; ",Mitochondria-based Renal Cell Carcinoma Subtyping: Learning from Deep vs. Flat Feature Representations,Journal of Machine Learning Research W&CP,56,,,2016,Microtome Publishing
"Muhammad, Hassan; Fuchs, Thomas J; De Cuir, Nicole; De Moraes, Carlos G; Blumberg, Dana M; Liebmann, Jeffrey M; Ritch, Robert; Hood, Donald C; ",Hybrid deep learning on single wide-field optical coherence tomography scans accurately classifies glaucoma suspects,Journal of glaucoma,26,12,1086-1094,2017,LWW
"De Moraes, Carlos Gustavo; Muhammad, Hassan; Kaur, Khushmit; Wang, Diane; Ritch, Robert; Hood, Donald C; ",Interindividual variations in foveal anatomy and artifacts seen on inner retinal probability maps from spectral domain OCT scans of the macula,Translational Vision Science & Technology,7,2,4-4,2018,The Association for Research in Vision and Ophthalmology
"Muhammad, Hassan; Häggström, Ida; Klimstra, David S; Fuchs, Thomas J; ",Survival modeling of pancreatic cancer with radiology using convolutional neural networks,International Workshop on Point-of-Care Ultrasound,,,187-192,2018,Springer International Publishing Cham
"Muhammad, Hassan; Sigel, Carlie S; Campanella, Gabriele; Boerner, Thomas; Pak, Linda M; Büttner, Stefan; IJzermans, Jan NM; Koerkamp, Bas Groot; Doukas, Michael; Jarnagin, William R; ",Towards unsupervised cancer subtyping: predicting prognosis using a histologic visual dictionary,arXiv preprint arXiv:1903.05257,,,,2019,
"Muhammad, Hassan; Sigel, Carlie S; Campanella, Gabriele; Boerner, Thomas; Pak, Linda M; Büttner, Stefan; IJzermans, Jan NM; Koerkamp, Bas Groot; Doukas, Michael; Jarnagin, William R; ",Unsupervised subtyping of cholangiocarcinoma using a deep clustering convolutional autoencoder,International conference on medical image computing and computer-assisted intervention,,,604-612,2019,Springer International Publishing Cham
"Xie, Chensu; Muhammad, Hassan; Vanderbilt, Chad M; Caso, Raul; Yarlagadda, Dig Vijay Kumar; Campanella, Gabriele; Fuchs, Thomas J; ",Beyond Classification: Whole Slide Tissue Histopathology Analysis By End-To-End Part Learning.,MIDL,,,843-856,2020,
"Muhammad, Hassan; ",A Mental Health Crisis Among Graduate Students: Uncovering the Root Cause,Regeneration Magazine,,,,2020,Marxist Center
"Fuchs, Thomas J; Muhammad, Hassan; ",Systems and methods for image classification using visual dictionaries,,,,,2023,"US Patent 11,615,264"
"Muhammad, Hassan; Xie, Chensu; Sigel, Carlie S; Doukas, Michael; Alpert, Lindsay; Simpson, Amber Lea; Fuchs, Thomas J; ","EPIC-survival: End-to-end part inferred clustering for survival analysis, with prognostic stratification boosting",Medical Imaging with Deep Learning,,,,2021,
"Muhammad, Hassan; ",Leveraging Deep Learning on Medical Imaging and Digital Pathology for Disease Detection and Prognostic Modelling,,,,,2021,Weill Medical College of Cornell University
"Krishnamurthy, Savitri; Jain, Parag; Tripathy, Debu; Muhammad, Hassan; huang, Wei; Yang, Hua; Kummar, Shivaani; Wilding, George; Roy, Rajat; Randhawa, Ramandeep; ",Abstract P6-01-18: Predicting response of triple negative breast cancer to neoadjuvant chemotherapy using a deep convolutional neural network-based artificial intelligence tool,Cancer Research,83,5_Supplement,P6-01-18-P6-01-18,2023,The American Association for Cancer Research
"Muhammad, Hassan; Xie, Chensu; ",Determining scores indicative of times to events from biomedical images,,,,,2025,"US Patent 12,406,511"
"Krishnamurthy, Savitri; Jain, Parag; Tripathy, Debu; Basset, Roland; Randhawa, Ramandeep; Muhammad, Hassan; Huang, Wei; Yang, Hua; Kummar, Shivaani; Wilding, George; ",Predicting response of triple-negative breast cancer to neoadjuvant chemotherapy using a deep convolutional neural network–based artificial intelligence tool,JCO clinical cancer informatics,7,,e2200181,2023,Wolters Kluwer Health
"Huang, Wei; Jain, Parag; Xie, Chensu; Muhammad, Hassan; Basu, Hirak; Wilding, George; Roy, Rajat; ",AI powered-platform to predict gene modifications from prostate and breast cancer whole slide images,Cancer Research,83,7_Supplement,5408-5408,2023,The American Association for Cancer Research
"Nair, Sujit; Muhammad, Hassan; Jain, Parag; Xie, Chensu; Pavlova, Ina; Brody, Rachel; Huang, Wei; Nakadar, Maria; Zhang, Xiangfu; Basu, Hirak S; ","A novel, AI-generated morphologic biomarker to predict prostate cancer recurrence in patients with intermediate risk of progression.",,,,,2023,American Society of Clinical Oncology
"Mobadersany, Pooya; Tian, Shaozhou Ken; Yip, Stephen SF; Greshock, Joel; Khan, Najat; Yu, Margaret K; McCarthy, Sharon; Brookman-May, Sabine D; Muhammad, Hassan; Xie, Chensu; ",AI-enabled analysis of H&E-stained prostate cancer tissue images: Assessing risk for metastasis prior to apalutamide (APA) treatment of patients with non-metastatic castration-resistant prostate cancer (nmCRPC).,,,,,2023,American Society of Clinical Oncology
"Xie, Chensu; Muhammad, Hassan; VANDERBILT, Chad M; CASO, Raul; YARLAGADDA, Dig Vijay Kumar; CAMPANELLA, Gabriele; Fuchs, Thomas J; ",End-to-end part learning for image analysis,,,,,2023,"US Patent App. 18/008,133"
